subnum,Age,Amount Shared,RT,Partner
104,Young,5.442424,1.593011,Computer
105,Young,3.6,2.112368,Computer
106,Young,3.222222,1.796878,Computer
107,Young,3.2,1.810636,Computer
108,Young,4.5,1.627083,Computer
109,Young,4.878788,2.174261,Computer
110,Young,4.166667,1.490199,Computer
111,Old,4.853333,1.904657,Computer
112,Young,4.533333,1.6595,Computer
113,Young,2.433333,1.744022,Computer
115,Young,2.40202,2.081471,Computer
116,Young,2.933333,1.560861,Computer
117,Young,2.960606,1.574603,Computer
118,Young,3.325253,1.656926,Computer
120,Young,2.866667,1.406093,Computer
121,Young,3.633333,1.638825,Computer
122,Young,5.166667,1.57476,Computer
124,Young,5.6,1.663172,Computer
125,Young,4.331515,1.630973,Computer
126,Young,2.383636,1.686536,Computer
127,Old,2.684848,1.930426,Computer
128,Old,5.333333,1.787891,Computer
129,Old,2.29013,1.853556,Computer
130,Old,1.375758,1.960251,Computer
131,Old,4.478788,2.134486,Computer
132,Old,5.4,1.924765,Computer
133,Old,3.485455,1.846889,Computer
134,Old,5.833333,1.717582,Computer
135,Old,3.566667,1.104282,Computer
136,Old,5.333333,1.818526,Computer
137,Old,3.927273,2.122644,Computer
138,Old,1.282468,2.002729,Computer
140,Old,4.747879,2.074234,Computer
141,Old,5.666667,1.937905,Computer
142,Old,4.063636,2.196087,Computer
144,Old,5.5,1.747727,Computer
145,Old,3.583333,1.95689,Computer
147,Old,2.906667,2.241469,Computer
149,Old,1.333333,2.282795,Computer
150,Young,3.026667,1.973596,Computer
151,Old,5.5,1.545984,Computer
104,Young,5.666667,1.473105,Stranger
105,Young,3.6,2.095488,Stranger
106,Young,2.80303,1.707566,Stranger
107,Young,4.266667,1.851071,Stranger
108,Young,5.151515,1.551918,Stranger
109,Young,4.886364,2.020377,Stranger
110,Young,4.666667,1.521974,Stranger
111,Old,4.799394,1.918341,Stranger
112,Young,4.9,1.674796,Stranger
113,Young,5.457576,1.758896,Stranger
115,Young,2.106667,2.012042,Stranger
116,Young,4.1,1.579558,Stranger
117,Young,2.733333,1.510649,Stranger
118,Young,3.139394,1.63273,Stranger
120,Young,3.033333,1.411689,Stranger
121,Young,4.030303,1.635429,Stranger
122,Young,5.1,1.592039,Stranger
124,Young,4.866667,1.705008,Stranger
125,Young,4.08303,1.65117,Stranger
126,Young,2.92,1.582797,Stranger
127,Old,3.633333,1.930226,Stranger
128,Old,5.587879,1.618737,Stranger
129,Old,2.600404,1.870887,Stranger
130,Old,1.633333,2.066945,Stranger
131,Old,4.975758,2.068672,Stranger
132,Old,5.2,1.878703,Stranger
133,Old,3.330303,1.906499,Stranger
134,Old,5.665657,1.860623,Stranger
135,Old,3.858586,1.185247,Stranger
136,Old,5.583333,1.786869,Stranger
137,Old,3.754545,2.010893,Stranger
138,Old,1.757576,2.095079,Stranger
140,Old,4.520202,1.896534,Stranger
141,Old,5.666667,1.874019,Stranger
142,Old,5.146667,2.012542,Stranger
144,Old,5.666667,1.702148,Stranger
145,Old,2.090909,1.904379,Stranger
147,Old,3.172727,2.219941,Stranger
149,Old,1.282197,2.233228,Stranger
150,Young,3.70303,1.915712,Stranger
151,Old,5.6,1.542938,Stranger
104,Young,5.666667,1.492526,Friend
105,Young,4.933333,1.983292,Friend
106,Young,3.126263,1.6818,Friend
107,Young,4.933333,1.768065,Friend
108,Young,5.666667,1.495704,Friend
109,Young,5.666667,2.110898,Friend
110,Young,4.333333,1.43365,Friend
111,Old,5.3,1.905547,Friend
112,Young,4.809091,1.66993,Friend
113,Young,4.833333,1.688804,Friend
115,Young,1.935152,1.882164,Friend
116,Young,4.6,1.521977,Friend
117,Young,3.566667,1.505783,Friend
118,Young,3.112121,1.673527,Friend
120,Young,3.136364,1.475923,Friend
121,Young,5.033333,1.553228,Friend
122,Young,5.266667,1.487188,Friend
124,Young,5.048485,1.767546,Friend
125,Young,4.533333,1.647753,Friend
126,Young,2.666667,1.61763,Friend
127,Old,3.233333,1.953458,Friend
128,Old,5.463636,1.639982,Friend
129,Old,2.640043,1.831803,Friend
130,Old,2.123636,2.227234,Friend
131,Old,5.554545,2.146567,Friend
132,Old,5.333333,1.899171,Friend
133,Old,3.869697,1.863523,Friend
134,Old,5.4,1.907759,Friend
135,Old,3.557374,1.186568,Friend
136,Old,5.666667,1.897782,Friend
137,Old,5.148485,1.972757,Friend
138,Old,2.021465,2.114451,Friend
140,Old,4.580606,1.97403,Friend
141,Old,5.666667,1.843284,Friend
142,Old,5.666667,1.762936,Friend
144,Old,5.666667,1.724973,Friend
145,Old,4,1.903709,Friend
147,Old,3.660606,2.185121,Friend
149,Old,1.540404,2.40071,Friend
150,Young,3.633333,1.709175,Friend
151,Old,5.666667,1.495874,Friend